Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25.0,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,8,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,51,12,2,0,0,2,10,0,0,0,0,50,2,2,1,1,0,1,100.0,0,3,1,2,1,3,0,0,2,2.09,2,0,0,0,0,0,0,0.00,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25.0,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,2,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,14,18,77.8,222,48,0,0.0,0.0,0.0,0,1,0,0,2,14,4,0,0,0,2,4,0,0,0,0,14,1,1,0,1,0,1,100.0,0,1,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.00,0.10,3,2,3,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,21,8,0,0,0,1,8,0,0,0,0,17,3,2,2,1,0,3,100.0,0,1,0,1,1,4,0,0,0,0.00,0,0,0,0,0,0,0,0.00,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21.0,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.00,0.06,3,4,1,1,0,0.0,1.02,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,45,1,1,0,0,0,0,0,0,0,0,36,4,2,4,0,0,3,66.7,1,2,1,1,1,5,3,0,1,1.02,1,0,0,0,0,0,0,0.00,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,2,100.0,41,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37.0,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,0.00,0.03,4,22,3,2,1,50.0,0.18,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,432,498,86.7,7860,2367,0,0.1,0.3,-0.1,2,27,0,0,22,456,40,20,0,0,0,1,0,0,0,0,432,17,11,15,2,0,16,62.5,6,24,17,7,13,30,56,1,6,0.55,5,1,0,0,0,0,0,0.00,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,4,1,0,8,3,390,3,2,0,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999,25,25,2222,24.7,6,1,7,3,3,4,3,0,5.6,2.5,2.9,5.4,0.16,0.35,86,167,94,24,6,25.0,0.97,0.24,0.13,0.50,24.1,0,3,4,5.6,2.5,0.10,+0.4,+0.5,1126,1363,82.6,17293,4685,1,2.9,2.9,-1.9,32,130,31,2,167,1263,92,34,20,8,37,13,8,4,2,0,1126,37,25,8,16,13,37,35.1,24,16,0,16,19,56,20,1,74,3.00,63,2,3,1,3,2,2,0.08,1612,22,213,937,492,41,1608,98,44,44.9,52,53.1,946,5987,3399,86,71,16,43,36,1185,94,3,0,0,38,30,2,37,19,25,0,0,0,137,12,18,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26.0,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,2,26,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,291,332,87.7,5339,1686,0,0.0,0.1,0.0,0,15,1,0,26,313,19,15,0,6,0,2,0,0,0,0,291,17,12,11,5,1,18,61.1,7,6,3,3,13,30,39,1,3,0.44,3,0,0,0,0,0,0,0.00,410,56,199,194,19,1,410,3,1,33.3,2,66.7,200,756,403,2,0,0,2,2,234,3,2,0,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31.0,1993,18,11,942,10.5,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,0.38,0.24,27,29,59,16,5,31.3,1.53,0.48,0.13,0.40,19.8,0,0,0,1.2,1.2,0.07,+0.8,+0.8,333,450,74.0,5186,1777,2,1.4,1.2,+0.6,13,11,13,3,29,368,78,9,0,2,26,69,0,0,0,0,333,25,16,10,9,6,31,61.3,12,17,4,13,11,36,28,0,29,2.77,20,3,3,2,0,1,2,0.19,584,39,169,232,187,30,584,16,7,43.8,9,56.3,239,1156,648,27,9,8,20,10,321,59,1,0,0,16,9,2,26,11,16,0,0,0,45,13,10,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0.44,0.09,6,9,26,1,0,0.0,0.44,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,118,136,86.8,1766,368,1,0.2,0.2,+0.8,2,4,4,2,9,103,33,1,0,0,7,32,0,0,0,0,118,3,2,2,0,1,1,100.0,0,2,0,2,2,5,0,0,6,2.65,5,0,0,0,1,0,1,0.44,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Abel,es ESP,DF,Osasuna,es La Liga,24.0,2000,26,14,1508,16.8,2,0,2,2,0,0,2,0,0.4,0.4,0.8,1.2,0.12,0.07,38,57,61,9,3,33.3,0.54,0.18,0.22,0.67,25.1,0,0,0,0.4,0.4,0.04,+1.6,+1.6,549,766,71.7,9196,3858,0,0.8,1.0,-0.8,10,42,9,7,57,592,171,9,2,1,62,162,0,0,0,0,549,38,26,15,16,7,37,59.5,15,22,2,20,13,51,46,2,22,1.31,18,1,1,0,1,1,2,0.12,944,48,286,432,235,11,944,25,13,52.0,9,36.0,422,2408,1289,38,32,4,19,10,460,61,2,0,0,15,20,1,62,13,26,0,0,0,84,16,12,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22.0,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0.00,0.02,2,6,2,2,0,0.0,0.68,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,36,61,59.0,680,267,0,0.0,0.1,0.0,1,7,2,0,6,58,2,2,0,1,0,0,0,0,0,0,36,6,4,3,3,0,1,100.0,0,3,0,3,0,6,5,0,3,1.03,3,0,0,0,0,0,0,0.00,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,1,100.0,21,7,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003,26,25,2079,23.1,7,1,8,6,1,1,2,0,7.2,6.4,2.8,9.2,0.30,0.43,54,36,131,60,22,36.7,2.60,0.95,0.10,0.27,14.8,0,1,1,7.2,6.4,0.11,-0.2,-0.4,272,399,68.2,3964,716,1,2.8,2.8,-1.8,20,18,14,4,36,377,21,1,2,4,26,1,0,0,0,0,272,10,4,2,4,4,9,33.3,6,10,0,10,2,12,27,1,50,2.16,34,0,8,5,3,0,5,0.22,665,25,59,281,340,114,664,74,31,41.9,40,54.1,457,2850,1383,54,32,33,75,49,525,131,2,0,0,22,45,5,26,2,4,0,0,0,69,41,53,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000,14,9,820,9.1,1,1,2,1,0,0,1,0,0.2,0.2,0.9,1.1,0.22,0.12,22,51,48,6,3,50.0,0.66,0.33,0.17,0.33,19.9,0,0,0,0.2,0.2,0.03,+0.8,+0.8,420,502,83.7,6126,2606,1,0.9,1.9,+0.1,10,32,10,2,51,425,75,8,1,1,26,61,6,6,0,0,420,20,14,9,8,3,23,65.2,8,12,1,11,5,25,32,0,18,1.98,15,3,0,0,0,0,1,0.11,593,30,135,278,182,19,593,9,4,44.4,5,55.6,303,1420,919,22,13,4,12,7,379,48,1,0,0,11,4,0,26,5,14,0,0,0,37,5,6,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25.0,2000,23,22,1827,20.3,7,2,9,6,1,2,4,0,10.1,8.5,1.5,10.0,0.39,0.57,29,22,152,59,24,40.7,2.91,1.18,0.10,0.25,14.5,0,1,2,10.1,8.5,0.14,-3.1,-2.5,212,335,63.3,2647,728,2,1.5,1.8,+0.5,11,15,9,3,22,319,13,1,0,0,31,7,3,2,0,0,212,19,11,6,7,6,21,19.0,17,16,1,15,6,25,8,0,32,1.58,18,0,4,5,4,1,7,0.34,582,5,55,188,344,107,580,45,12,26.7,31,68.9,353,1778,797,29,20,16,61,25,429,152,4,0,0,34,23,10,31,6,11,2,0,0,56,21,38,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,26.0,1999,26,26,2208,24.5,0,1,1,0,0,0,12,0,0.8,0.8,0.2,1.0,0.04,0.04,15,76,4,10,1,10.0,0.41,0.04,0.00,0.00,7.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8,648,860,75.3,14285,5114,1,0.2,0.4,+0.8,7,58,9,2,76,813,44,38,1,17,5,5,0,0,0,0,648,35,22,23,11,1,31,64.5,11,23,16,7,37,72,132,1,23,0.94,18,0,0,2,1,2,3,0.12,1142,153,604,494,54,22,1142,4,3,75.0,1,25.0,571,3334,1910,15,7,0,16,2,591,4,12,0,0,44,29,2,5,37,22,1,2,0,78,37,32,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27.0,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,3,33.3,44,32,0,0.0,0.0,0.0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27.0,1997,23,9,978,10.9,2,3,5,1,1,2,1,0,6.1,4.4,2.0,6.4,0.37,0.74,5,22,55,20,9,45.0,1.84,0.83,0.05,0.11,13.8,0,1,2,6.1,4.4,0.22,-4.1,-3.4,125,178,70.2,1605,450,3,2.0,1.2,+1.0,12,9,10,0,22,163,14,0,3,0,3,0,0,0,0,0,125,15,10,1,10,4,7,71.4,2,9,0,9,2,17,9,0,28,2.58,23,0,0,4,1,0,6,0.55,294,14,34,136,124,51,292,12,3,25.0,9,75.0,120,408,137,5,5,3,20,7,187,55,1,0,0,19,6,4,3,2,10,1,0,0,10,27,30,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,21.0,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,4,6,66.7,55,19,0,0.0,0.0,0.0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988,15,15,1210,13.4,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,0.07,0.06,9,45,13,4,1,25.0,0.30,0.07,0.00,0.00,11.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,844,905,93.3,15948,4553,1,0.5,0.7,+0.5,7,37,3,2,45,869,34,22,0,1,6,8,0,0,0,0,844,16,13,10,6,0,10,70.0,3,18,13,5,22,38,64,0,13,0.97,13,0,0,0,0,0,1,0.07,1048,103,434,549,68,17,1048,2,2,100.0,0,0.0,658,2861,1408,9,10,1,7,1,774,13,0,0,0,9,14,1,6,22,13,0,0,0,36,42,21,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18.0,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.00,0.12,0,8,0,2,0,0.0,1.06,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,104,124,83.9,2025,705,0,0.0,0.0,0.0,0,6,0,0,8,121,3,2,0,0,0,1,0,0,0,0,104,2,1,2,0,0,2,100.0,0,1,0,1,1,3,2,0,2,1.06,2,0,0,0,0,0,0,0.00,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25.0,2000,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,3,66.7,15,12,0,0.0,0.0,0.0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,4,1,1,3,0,0,4,0,0,,0,,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25.0,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,0.33,0.44,11,6,45,26,12,46.2,2.18,1.00,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,112,179,62.6,1540,198,1,1.0,0.1,0.0,12,8,0,0,6,160,17,0,1,2,5,0,0,0,0,0,112,4,3,1,2,1,4,75.0,1,2,1,1,1,5,5,1,25,2.09,18,0,4,1,2,0,5,0.42,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Che Adams,sct SCO,FW,Torino,it Serie A,28.0,1996,27,22,1913,21.3,8,3,11,8,0,0,2,0,5.2,5.2,1.8,7.1,0.52,0.33,18,28,115,43,20,46.5,2.02,0.94,0.19,0.40,16.6,0,0,0,5.2,5.2,0.12,+2.8,+2.8,315,433,72.7,4866,901,3,1.8,2.7,+1.2,23,25,5,0,28,401,31,2,4,4,9,1,0,0,0,0,315,8,3,1,3,4,4,0.0,4,8,4,4,1,9,15,0,54,2.54,43,1,0,5,5,0,5,0.24,608,13,42,301,273,68,608,31,10,32.3,17,54.8,383,1619,566,18,14,4,49,23,471,115,2,0,0,19,29,16,9,1,3,0,0,0,39,28,49,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26.0,1999,19,13,1245,13.8,0,3,3,0,0,0,4,0,1.2,1.2,0.8,1.9,0.22,0.14,8,46,6,6,1,16.7,0.43,0.07,0.00,0.00,18.7,0,0,0,1.2,1.2,0.19,-1.2,-1.2,539,645,83.6,8524,1989,3,0.8,0.3,+2.2,11,39,1,0,46,611,31,28,1,0,1,3,0,0,0,0,539,63,39,22,35,6,50,54.0,23,20,6,14,28,91,28,0,25,1.81,21,0,0,0,0,4,4,0.29,839,35,218,481,148,11,839,13,2,15.4,8,61.5,403,1768,770,8,14,1,20,8,449,6,4,0,0,28,13,0,1,28,39,0,1,0,72,21,15,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001,19,13,1088,12.1,2,1,3,2,0,0,4,1,4.2,4.2,1.4,5.7,0.25,0.47,6,8,58,25,9,36.0,2.07,0.74,0.08,0.22,12.5,0,0,0,4.2,4.2,0.17,-2.2,-2.2,146,230,63.5,1744,215,1,1.4,1.5,-0.4,13,4,5,0,8,216,12,0,1,0,3,2,0,0,0,0,146,3,0,1,1,1,5,0.0,5,11,0,11,8,11,13,0,23,1.90,17,0,1,2,3,0,3,0.25,372,13,37,187,153,47,372,19,9,47.4,10,52.6,183,742,265,6,5,3,36,16,246,58,4,1,0,27,19,8,3,8,0,0,0,0,34,37,79,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27.0,1997,16,11,1091,12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,0.16,0.09,5,30,1,11,2,18.2,0.91,0.16,0.09,0.50,12.3,0,0,0,0.9,0.9,0.08,+0.1,+0.1,875,959,91.2,16057,5863,1,0.2,0.2,+0.8,1,48,0,0,30,932,25,15,2,1,0,4,0,0,0,0,875,14,10,10,4,0,12,66.7,4,7,6,1,9,23,52,0,10,0.83,5,0,0,5,0,0,1,0.08,1062,137,509,535,19,12,1062,2,2,100.0,0,0.0,642,2646,1509,5,1,0,3,0,823,1,2,0,0,7,3,1,0,9,10,0,0,0,30,32,22,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21.0,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,0,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,8,10,80.0,138,11,0,0.0,0.0,0.0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,1,1,0,1,0,2,50.0,1,0,0,0,0,1,2,0,0,0.00,0,0,0,0,0,0,0,0.00,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23.0,2002,17,12,1003,11.1,3,3,6,3,0,0,3,0,3.4,3.4,3.7,7.1,0.54,0.64,49,21,110,34,12,35.3,3.05,1.08,0.09,0.25,18.2,0,0,0,3.4,3.4,0.10,-0.4,-0.4,230,305,75.4,3407,657,3,3.7,2.5,-0.7,22,8,14,1,21,293,10,1,2,1,19,6,2,2,0,0,230,13,10,5,4,4,10,40.0,6,11,1,10,5,18,5,0,40,3.60,22,1,9,5,2,1,4,0.36,462,8,42,174,254,54,462,64,31,48.4,30,46.9,309,2378,1126,49,29,26,26,22,339,110,3,0,0,14,13,2,19,5,10,0,0,0,38,7,8,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23.0,2002,20,6,625,6.9,2,1,3,2,0,0,0,0,1.5,1.5,1.1,2.6,0.43,0.37,23,10,81,16,5,31.3,2.30,0.72,0.13,0.40,16.8,0,0,0,1.5,1.5,0.09,+0.5,+0.5,171,226,75.7,2364,501,1,1.1,1.7,-0.1,8,3,8,2,10,220,5,0,1,0,21,5,0,0,0,0,171,14,7,7,5,2,18,33.3,12,7,0,7,6,20,4,1,25,3.60,18,0,4,3,0,0,4,0.58,332,6,52,104,181,40,332,32,14,43.8,18,56.3,217,1434,672,23,15,11,27,7,228,81,0,0,0,9,0,1,21,6,7,0,0,0,31,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24.0,2000,12,4,437,4.9,1,0,1,1,0,0,2,0,1.7,1.7,0.3,2.0,0.21,0.41,24,14,73,14,4,28.6,2.88,0.82,0.07,0.25,12.9,0,0,0,1.7,1.7,0.12,-0.7,-0.7,166,225,73.8,2027,390,0,0.3,1.3,-0.3,6,3,11,4,14,214,10,0,0,1,23,7,3,2,1,0,166,10,6,2,1,7,7,42.9,4,8,0,8,0,10,3,0,19,3.91,9,0,2,4,4,0,0,0.00,291,4,28,79,187,37,291,17,7,41.2,9,52.9,155,871,496,24,14,8,14,3,222,73,2,0,0,5,9,4,23,0,6,2,0,0,17,14,12,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000,21,14,1122,12.5,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6,0.56,0.21,22,96,23,11,4,36.4,0.88,0.32,0.27,0.75,21.5,1,0,0,0.5,0.5,0.04,+2.5,+2.5,651,800,81.4,12808,4151,4,2.2,2.0,+1.8,21,80,10,3,96,712,84,39,3,13,56,5,39,17,19,0,651,31,18,11,15,5,38,44.7,21,11,1,10,6,37,18,0,45,3.61,32,9,2,2,0,0,8,0.64,915,26,161,553,211,9,915,24,10,41.7,12,50.0,544,3195,1488,22,25,2,17,4,608,23,3,1,1,9,16,0,56,6,18,0,0,0,70,5,15,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Adrián,es ESP,GK,Betis,es La Liga,38.0,1987,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,236,301,78.4,6039,4090,0,0.0,0.0,0.0,0,2,0,0,0,230,70,26,0,0,0,0,0,0,0,0,236,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,0,0.00,0,0,0,0,0,0,0,0.00,310,261,309,1,0,0,310,0,0,,0,,187,901,593,0,0,0,0,0,159,0,2,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,12,1.33,29,17,62.1,6,1,2,3,33.3,1,1,0,0,10.3,0.33,-1.7,-0.18,31,85,36.5,256,40,27.3,30.8,111,5,4.5,6,0.67,13.0
