Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1054,Serhou Guirassy,gn GUI,FW,Dortmund,de Bundesliga,29.0,1996,23,23,2043,22.7,14,1,15,12,2,2,3,0,15.9,14.3,3.7,18.0,0.57,0.86,16,29,103,69,24,34.8,3.04,1.06,0.17,0.50,11.8,1,2,2,15.9,14.3,0.21,-1.9,-2.3,336,458,73.4,4278,648,1,3.7,2.7,-2.7,22,20,9,0,29,416,41,0,8,2,1,0,0,0,0,0,336,3,2,1,0,2,1,0.0,1,8,3,5,4,7,30,0,39,1.72,27,0,1,6,5,0,5,0.22,715,33,57,371,291,124,713,25,7,28.0,13,52.0,390,1622,549,16,14,10,60,25,561,103,3,0,0,14,45,9,1,4,2,2,0,0,35,87,78,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Marc Guiu,es ESP,FW,Chelsea,eng Premier League,19.0,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.04,0,0,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,11,16,68.8,110,4,0,0.0,0.0,0.0,1,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,11,1,1,0,1,0,1,100.0,0,0,0,0,0,1,0,0,1,1.22,1,0,0,0,0,0,0,0.00,22,0,2,8,12,3,22,1,0,0.0,1,100.0,12,30,8,0,0,0,2,0,12,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34.0,1990,25,25,2205,24.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,616,747,82.5,15251,9367,0,0.0,0.0,0.0,0,3,0,0,0,548,196,34,0,0,0,0,0,0,0,0,616,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,3,1,0.04,1,0,0,0,0,0,0,0.00,817,672,801,17,0,0,817,0,0,,0,,439,1981,1030,0,0,0,1,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,1,85.7,32,1.31,112,79,73.2,10,9,6,13,52.0,3,2,1,0,36.3,0.31,+4.3,+0.17,67,169,39.6,582,118,20.1,28.5,355,17,4.8,25,1.02,15.6
1057,Arda Güler,tr TUR,"MF,FW",Real Madrid,es La Liga,20.0,2005,18,6,648,7.2,1,3,4,1,0,0,1,0,1.9,1.9,1.7,3.6,0.56,0.50,18,44,51,22,8,36.4,3.06,1.11,0.05,0.13,18.9,1,0,0,1.9,1.9,0.09,-0.9,-0.9,350,406,86.2,5566,1288,3,1.7,1.9,+1.3,18,39,14,2,44,379,26,10,4,6,17,6,10,6,2,0,350,18,7,6,5,7,15,46.7,8,10,0,10,3,21,7,0,36,5.00,25,3,4,3,0,1,6,0.83,507,12,74,211,227,28,507,27,11,40.7,11,40.7,327,1659,817,18,19,6,12,7,387,51,1,0,0,11,21,4,17,3,7,0,0,0,30,6,6,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Gerard Gumbau,es ESP,MF,Rayo Vallecano,es La Liga,30.0,1994,15,5,611,6.8,0,1,1,0,0,0,4,0,0.8,0.8,1.2,2.0,0.15,0.30,2,27,19,9,4,44.4,1.33,0.59,0.00,0.00,19.5,0,0,0,0.8,0.8,0.09,-0.8,-0.8,221,300,73.7,3869,1240,1,1.2,0.7,-0.2,14,23,3,1,27,265,35,15,0,3,33,1,19,11,7,0,221,14,12,7,6,1,12,50.0,6,7,3,4,3,17,10,0,24,3.54,14,9,1,0,0,0,1,0.15,362,16,77,191,95,8,362,4,2,50.0,2,50.0,190,621,251,2,6,0,5,2,233,19,4,0,0,16,8,2,33,3,12,0,0,0,15,11,14,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,26.0,1998,4,1,147,1.6,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.5,0.00,0.33,3,6,6,2,2,100.0,1.22,1.22,0.00,0.00,16.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,56,75,74.7,858,356,0,0.4,0.3,-0.4,2,2,1,1,6,51,24,1,0,0,2,23,0,0,0,0,56,2,2,1,1,0,3,33.3,2,1,0,1,0,2,5,0,5,3.06,5,0,0,0,0,0,0,0.00,94,8,27,33,34,2,94,4,1,25.0,2,50.0,43,187,83,3,2,0,2,1,45,6,2,0,0,3,3,0,2,0,2,0,0,0,8,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,34.0,1990,25,17,1535,17.1,0,3,3,0,0,0,1,0,1.7,1.7,2.3,4.1,0.18,0.24,40,98,63,18,4,22.2,1.06,0.23,0.00,0.00,18.6,2,0,0,1.7,1.7,0.09,-1.7,-1.7,1084,1213,89.4,16687,3168,3,2.3,3.1,+0.7,30,76,17,2,98,1130,80,23,7,3,49,2,39,25,4,1,1084,18,11,4,10,4,20,45.0,11,11,0,11,12,30,17,0,54,3.17,44,6,3,1,0,0,7,0.41,1338,33,210,641,504,48,1338,24,13,54.2,6,25.0,788,4403,2067,40,40,7,19,15,1052,63,1,0,0,13,19,0,49,12,11,0,0,0,80,11,8,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Christian Günter,de GER,DF,Freiburg,de Bundesliga,32.0,1993,25,25,2141,23.8,2,2,4,2,0,0,0,0,0.8,0.6,2.5,3.1,0.17,0.14,17,48,101,21,6,28.6,0.88,0.25,0.10,0.33,22.4,1,0,0,0.8,0.6,0.03,+1.2,+1.4,787,1059,74.3,12906,3994,2,2.5,4.0,-0.5,27,51,29,20,48,814,243,25,2,1,111,185,33,21,6,0,787,21,19,12,7,2,28,53.6,13,21,9,12,8,29,44,1,50,2.10,39,6,0,3,2,0,4,0.17,1202,58,337,476,393,25,1202,7,3,42.9,4,57.1,518,1936,889,17,16,6,13,4,704,101,0,0,0,13,4,5,111,8,19,0,0,0,57,7,13,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Jon Guridi,es ESP,"MF,FW",Alavés,es La Liga,30.0,1995,24,18,1465,16.3,3,0,3,2,1,1,4,0,2.9,2.1,0.6,2.7,0.12,0.22,20,61,60,16,9,56.3,0.98,0.55,0.13,0.22,15.8,0,1,1,2.9,2.1,0.13,+0.1,-0.1,414,537,77.1,6464,1608,0,0.6,0.6,-0.6,12,42,8,2,61,504,28,7,1,0,13,4,5,1,3,0,414,25,13,5,16,4,31,35.5,20,17,1,16,10,35,8,0,33,2.03,23,3,2,3,1,1,7,0.43,673,14,92,363,224,40,672,16,6,37.5,8,50.0,338,1904,846,20,21,2,24,13,418,60,4,0,0,23,11,4,13,10,13,0,1,0,68,26,33,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,28.0,1996,27,15,1365,15.2,6,2,8,6,0,0,2,0,4.5,4.4,0.8,5.2,0.53,0.35,5,19,46,44,15,34.1,2.90,0.99,0.14,0.40,12.9,0,0,0,4.5,4.4,0.10,+1.5,+1.6,227,302,75.2,3228,351,2,0.8,0.4,+1.2,13,14,0,0,19,280,22,0,0,1,2,2,0,0,0,0,227,11,4,0,10,1,23,26.1,17,22,3,19,5,16,17,0,22,1.45,16,1,0,4,0,1,1,0.07,469,17,44,234,194,63,469,12,6,50.0,6,50.0,200,788,243,5,7,2,32,16,306,46,2,0,0,32,19,4,2,5,4,0,0,0,44,27,56,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
